ID	Question	DBpedia	MusicBrainz	Wikidata	YAGO	LinkedMDB
84	Who produced the most films?	SELECT DISTINCT ?label WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel (COUNT(?film) AS ?c) WHERE { ?film wdt:P31 wd:Q11424 . ?film wdt:P162 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } GROUP BY ?itemLabel ORDER BY DESC(?c) OFFSET 0 LIMIT 1	SELECT DISTINCT ?label  WHERE {     ?uri a <http://yago-knowledge.org/resource/wordnet_producer_110480018>;         <http://yago-knowledge.org/resource/linksTo> ?movie;         rdfs:label ?label.    ?movie a <http://yago-knowledge.org/resource/wordnet_movie_106613686>.    FILTER langMatches( lcase(lang(?label)), "eng" ) } GROUP BY ?label ORDER BY DESC(COUNT(?movie)) OFFSET 0 LIMIT 1	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>  PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>  PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>  SELECT DISTINCT ?label  WHERE { ?uri a lmdbm:film. ?uri lmdbm:producer ?producer. ?producer rdfs:label ?label. } ORDER BY DESC(COUNT(?uri)) LIMIT 1
86	Give me all actors who were born in Berlin.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Actor> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P106 wd:Q33999 . ?item wdt:P19 wd:Q64 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:actedIn ?x .?uri res:wasBornIn res:Berlin .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	
87	Who created Goofy?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q111135 wdt:P170 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE {     ?x yago:created yago:Goofy;       rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
88	Which music albums contain the song Last Christmas?	SELECT DISTINCT ?label WHERE { ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> "Last Christmas"@en; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	PREFIX purlo: <http://purl.org/ontology/mo/> PREFIX purl: <http://purl.org/dc/elements/1.1/> SELECT DISTINCT ?label WHERE { ?release a purlo:Release . ?release purl:title ?label . ?release purlo:record ?rec . ?rec purlo:track ?track . ?track purlo:publication_of ?song . ?song a purlo:Signal . ?song purl:title ?st . FILTER( strStarts(lcase(str(?st)), 'last christmas') ) }	SELECT DISTINCT ?itemLabel WHERE { ?single wdt:P361 ?item . ?single ?label "Last Christmas"@en . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT  ?o  WHERE {   <http://yago-knowledge.org/resource/Last_Christmas> <http://yago-knowledge.org/resource/infobox/en/album> ?o. }  	X
91	Give me all the TV shows with Neil Patrick Harris.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/TelevisionShow> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Neil_Patrick_Harris>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )  }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q5398426 ; wdt:P161 wd:Q485310 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?o1 WHERE { <http://yago-knowledge.org/resource/Neil_Patrick_Harris> <http://yago-knowledge.org/resource/linksTo> ?o. ?o <http://yago-knowledge.org/resource/infobox/en/showname> ?o1          } 	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?uri a lmdbm:film.?uri lmdbm:actor <http://data.linkedmdb.org/resource/actor/33607> . ?uri rdfs:label ?label.}
94	Give me all Swedish holidays.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Holiday> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Sweden>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q1197685 . ?item p:P31 ?statement . ?statement pq:P17 wd:Q34 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
95	In which city was the former Dutch queen Juliana buried?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q154946 wdt:P20 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
96	List all the musicals with music by Leonard Bernstein.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Musical> ; <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Leonard_Bernstein>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q2743 . ?item wdt:P86 wd:Q152505 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?label  WHERE {     ?uri a <http://yago-knowledge.org/resource/wordnet_musical_107019172>;           rdfs:label ?label.    <http://yago-knowledge.org/resource/Leonard_Bernstein> <http://yago-knowledge.org/resource/wroteMusicFor> ?uri.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
98	What is the largest metropolitan area in Washington state?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P131 wd:Q1223 . ?item wdt:P1082 ?pop SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?pop) LIMIT 1	X	X
99	Who killed John Lennon?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/property/conviction> <http://dbpedia.org/resource/Death_of_John_Lennon>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q1203 wdt:P157 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
100	Which writers studied in Istanbul?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Writer>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/almaMater> ?x } UNION { ?uri <http://dbpedia.org/ontology/education> ?x } { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Istanbul> } UNION { ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/Istanbul> } }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P106 wd:Q36180 . ?item wdt:P69 ?uni . ?uni wdt:P131 wd:Q406 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
101	Give me all Australian metalcore bands.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Band> ; <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q215380. ?item wdt:P136 wd:Q183862 . ?item wdt:P17 wd:Q408 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
102	Which countries adopted the Euro?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Country>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Euro> } UNION { ?uri <http://dbpedia.org/property/currencyCode> "EUR"@en } }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P38 wd:Q4916 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?label  WHERE {      ?uri a <http://yago-knowledge.org/resource/wordnet_country_108544813>;          <http://yago-knowledge.org/resource/hasCurrency> <http://yago-knowledge.org/resource/Euro_sign>;          rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
103	Give me all types of eating disorders.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/class/yago/WikicatEatingDisorders>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q373822 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri a res:wikicat_Eating_disorders .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
109	Give me all books written by Danielle Steel.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Book> ; <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Danielle_Steel>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P50 wd:Q72653 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
110	Which country has the most official languages?	SELECT DISTINCT ?label WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/property/officialLanguages> ?language; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(COUNT(?language)) OFFSET 0 LIMIT 1	X	SELECT ?itemLabel (COUNT(?lang) AS ?x) WHERE { ?item wdt:P31 wd:Q6256 . ?item wdt:P37 ?lang . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } GROUP BY ?itemLabel ORDER BY DESC(?x) LIMIT 1	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:hasOfficialLanguage ?language .?uri a res:wikicat_Countries .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} GROUP BY ?label ORDER BY DESC(COUNT(?language)) OFFSET 0 LIMIT 1	X
112	Which actor played Chewbacca?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Chewbacca> <http://dbpedia.org/ontology/portrayer> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q51803 wdt:P175 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>  SELECT DISTINCT ?o WHERE {  res:Chewbacca <http://yago-knowledge.org/resource/infobox/en/portrayer> ?o. } 	
113	Give me all libraries established earlier than 1400.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Library> ; <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q7075 . ?item wdt:P571 ?date . BIND (YEAR( ?date ) AS ?year) . FILTER (?year < 1400) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:wasCreatedOnDate ?date .?uri a res:wikicat_Libraries .FILTER ( ?date < xsd:dateTime('1400-12-31T00:00:00Z') )?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
114	Which programming languages were influenced by Perl?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/influencedBy> <http://dbpedia.org/resource/Perl> } UNION { <http://dbpedia.org/resource/Perl> <http://dbpedia.org/ontology/influenced> ?uri } }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P737 wd:Q42478 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
115	In which U.S. state is Mount McKinley located?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Mount_McKinley> dbo:wikiPageRedirects ?x . ?x <http://dbpedia.org/ontology/locatedInArea> ?uri. ?uri rdf:type yago:WikicatStatesOfTheUnitedStates; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q130018 wdt:P131 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Mount_McKinley res:isLocatedIn ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
116	What airlines are part of the SkyTeam alliance?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Airline>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/SkyTeam> } UNION { ?uri <http://dbpedia.org/ontology/Alliance> <http://dbpedia.org/resource/SkyTeam> } }	X	SELECT ?itemLabel WHERE { ?item wdt:P361 wd:Q212282 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
117	Which ships were called after Benjamin Franklin?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/property/shipNamesake> <http://dbpedia.org/resource/Benjamin_Franklin>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q11446 . ?item wdt:P138 wd:Q34969 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
118	Give me all Methodist politicians.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Politician> ; <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Methodism>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P106 wd:Q82955 . ?item wdt:P140 wd:Q33203 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
119	What other books have been written by the author of The Fault in Our Stars?	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?label WHERE { ?books dbo:author <http://dbpedia.org/resource/John_Green_(author)>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q658375 wdt:P50 ?author. ?item wdt:P50 ?author FILTER (?item != wd:Q658375) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?x res:created res:The_Fault_in_Our_Stars .?x res:created ?uri . FILTER (?uri != res:The_Fault_in_Our_Stars)?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
120	What is the highest mountain?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> ; <http://dbpedia.org/ontology/elevation> ?elevation; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q8502. ?item wdt:P2044 ?alt SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?alt) LIMIT 1	X	X
121	Which poet wrote the most books?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Poet> ; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ). ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } GROUP BY ?label ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel (COUNT(?paper) AS ?count) WHERE { ?item wdt:P106 wd:Q49757 . ?paper wdt:P50 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } GROUP BY ?itemLabel ORDER BY DESC(?count) LIMIT 1	X 	X
122	Which programming languages influenced Javascript?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage> ; <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/JavaScript>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q2005 wdt:P737 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
123	Which musician wrote the most books?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Musician>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>. } GROUP BY ?label ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel (COUNT(?book) AS ?x) WHERE { ?item wdt:P106 wd:Q639669 . ?book wdt:P50 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } GROUP BY ?itemLabel ORDER BY DESC(?x) OFFSET 0 LIMIT 1	SELECT DISTINCT ?label  WHERE {     ?uri a <http://yago-knowledge.org/resource/wordnet_musician_110339966>;         <http://yago-knowledge.org/resource/created> ?book;         rdfs:label ?label.    ?book a <http://yago-knowledge.org/resource/wordnet_book_106410904>.    FILTER langMatches( lcase(lang(?label)), "eng" ) } GROUP BY ?label ORDER BY DESC(COUNT(?book)) OFFSET 0 LIMIT 1	X
124	Which films starring Clint Eastwood did he direct himself?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Clint_Eastwood> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Clint_Eastwood>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P161 wd:Q43203 . ?item wdt:P57 wd:Q43203 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?label  WHERE {     <http://yago-knowledge.org/resource/Clint_Eastwood> <http://yago-knowledge.org/resource/actedIn> ?uri.    <http://yago-knowledge.org/resource/Clint_Eastwood> <http://yago-knowledge.org/resource/directed> ?uri.    ?uri rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>  PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>  PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>  SELECT DISTINCT ?label  WHERE { ?uri a lmdbm:film. ?uri lmdbm:actor <http://data.linkedmdb.org/resource/actor/29753>. ?uri lmdbm:director <http://data.linkedmdb.org/resource/director/8533>. ?uri rdfs:label ?label. }
125	Which software has been developed by organizations founded in California?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Software>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P170 ?creator . ?creator p:P740 ?statement . ?statement pq:P131 wd:Q99 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
126	Which instruments does Cat Stevens play?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Cat_Stevens> <http://dbpedia.org/ontology/instrument> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q154216 wdt:P1303 ?item. SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>  SELECT DISTINCT ?label WHERE  {   res:Cat_Stevens res:hasMusicalRole ?o.  ?o rdfs:label ?label.  FILTER langMatches( lcase(lang(?label)), "eng" )  } 	X
129	Who wrote The Hunger Games?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/The_Hunger_Games> <http://dbpedia.org/property/author> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q11679 wdt:P50 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
130	For which label did Elvis record his first album?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?x rdf:type dbo:Album ; dbo:artist res:Elvis_Presley ; dbo:releaseDate ?y ; dbo:recordLabel ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )} GROUP BY ?label ORDER BY ASC(?y) OFFSET 0 LIMIT 1	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q482994. ?item wdt:P175 wd:Q303. ?item wdt:P577 ?date . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY ASC(?date) LIMIT 1	X	X
132	Where is the residence of the prime minister of Spain?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q844587 wdt:P263 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
133	Which actor was casted in the most movies?	SELECT DISTINCT ?label WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) . ?f <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?f <http://dbpedia.org/ontology/starring> ?uri . } GROUP BY ?label ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel (COUNT(?film) AS ?f) WHERE { ?item wdt:P161 ?film SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } GROUP BY ?itemLabel ORDER BY DESC(?f) OFFSET 0 LIMIT 1	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:actedIn ?f .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} GROUP BY ?label ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?f a lmdbm:film.?f lmdbm:actor ?uri. ?uri rdfs:label ?label.} GROUP BY ?label ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1
134	Which countries have more than two official languages?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Country> ; <http://dbpedia.org/ontology/officialLanguage> ?language; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label HAVING ( COUNT(?language) > 2 )	X	SELECT ?itemLabel (COUNT(?lang) AS ?x) WHERE { ?item wdt:P31 wd:Q6256 . ?item wdt:P37 ?lang . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } GROUP BY ?itemLabel HAVING(?x > 2)	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:hasOfficialLanguage ?language .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} GROUP BY ?label HAVING ( COUNT(?language) > 2 )	X
